,date,stock_id,type,value,origin_name
293,2019-09-30,1103,CostOfGoodsSold,431030000.0,營業成本
294,2019-09-30,1103,GrossProfit,41554000.0,營業毛利（毛損）淨額
295,2019-09-30,1103,OperatingIncome,-111355000.0,營業利益（損失）
296,2019-09-30,1103,TotalNonoperatingIncomeAndExpense,929910000.0,營業外收入及支出
297,2019-09-30,1103,OtherComprehensiveIncome,-1041253000.0,其他綜合損益（淨額）
298,2019-09-30,1103,EquityAttributableToOwnersOfParent,756768000.0,淨利（淨損）歸屬於母公司業主
299,2019-09-30,1103,NoncontrollingInterests,51420000.0,淨利（淨損）歸屬於非控制權益
300,2019-12-31,1103,IncomeBeforeIncomeTax,-137764000.0,稅前淨利(淨損)
301,2019-12-31,1103,NetIncome,-187848000.0,本期淨利(淨損)
302,2019-12-31,1103,OperatingExpenses,247146000.0,營業費用
303,2019-12-31,1103,TAX,36256000.0,所得稅費用（利益）
304,2019-12-31,1103,IncomeLossFromDiscontinuedOperation,-13828000.0,停業單位損益
305,2019-12-31,1103,EPS,-0.29,基本每股盈餘（元）
306,2019-12-31,1103,PreTaxIncome,-137764000.0,稅前淨利（淨損）
307,2019-12-31,1103,IncomeFromContinuingOperations,-174020000.0,繼續營業單位本期淨利（淨損）
308,2019-12-31,1103,IncomeAfterTaxes,-187848000.0,本期淨利（淨損）
309,2019-12-31,1103,TotalConsolidatedProfitForThePeriod,975466000.0,本期綜合損益總額
310,2019-12-31,1103,Revenue,521009000.0,營業收入
311,2019-12-31,1103,CostOfGoodsSold,482598000.0,營業成本
312,2019-12-31,1103,GrossProfit,38411000.0,營業毛利（毛損）淨額
313,2019-12-31,1103,OperatingIncome,-208735000.0,營業利益（損失）
314,2019-12-31,1103,TotalNonoperatingIncomeAndExpense,70971000.0,營業外收入及支出
315,2019-12-31,1103,OtherComprehensiveIncome,1163314000.0,其他綜合損益（淨額）
316,2019-12-31,1103,EquityAttributableToOwnersOfParent,-187646000.0,淨利（淨損）歸屬於母公司業主
317,2019-12-31,1103,NoncontrollingInterests,-202000.0,淨利（淨損）歸屬於非控制權益
318,2020-03-31,1103,OperatingExpenses,139428000.0,營業費用
319,2020-03-31,1103,TAX,11236000.0,所得稅費用（利益）
320,2020-03-31,1103,IncomeLossFromDiscontinuedOperation,2777000.0,停業單位損益
321,2020-03-31,1103,EPS,-0.33,基本每股盈餘（元）
322,2020-03-31,1103,PreTaxIncome,-205735000.0,稅前淨利（淨損）
323,2020-03-31,1103,IncomeFromContinuingOperations,-216971000.0,繼續營業單位本期淨利（淨損）
324,2020-03-31,1103,IncomeAfterTaxes,-214194000.0,本期淨利（淨損）
325,2020-03-31,1103,TotalConsolidatedProfitForThePeriod,-1731713000.0,本期綜合損益總額
326,2020-03-31,1103,Revenue,495334000.0,營業收入
327,2020-03-31,1103,CostOfGoodsSold,514817000.0,營業成本
328,2020-03-31,1103,GrossProfit,-19483000.0,營業毛利（毛損）淨額
329,2020-03-31,1103,OperatingIncome,-158911000.0,營業利益（損失）
330,2020-03-31,1103,TotalNonoperatingIncomeAndExpense,-46824000.0,營業外收入及支出
331,2020-03-31,1103,OtherComprehensiveIncome,-1517519000.0,其他綜合損益（淨額）
332,2020-03-31,1103,EquityAttributableToOwnersOfParent,-210089000.0,淨利（淨損）歸屬於母公司業主
333,2020-03-31,1103,NoncontrollingInterests,-4105000.0,淨利（淨損）歸屬於非控制權益
334,2020-06-30,1103,OperatingExpenses,155460000.0,營業費用
335,2020-06-30,1103,TAX,184047000.0,所得稅費用（利益）
336,2020-06-30,1103,IncomeLossFromDiscontinuedOperation,-1278000.0,停業單位損益
337,2020-06-30,1103,EPS,0.22,基本每股盈餘（元）
338,2020-06-30,1103,PreTaxIncome,347772000.0,稅前淨利（淨損）
339,2020-06-30,1103,IncomeFromContinuingOperations,163725000.0,繼續營業單位本期淨利（淨損）
340,2020-06-30,1103,IncomeAfterTaxes,162447000.0,本期淨利（淨損）
341,2020-06-30,1103,TotalConsolidatedProfitForThePeriod,1093788000.0,本期綜合損益總額
342,2020-06-30,1103,Revenue,496985000.0,營業收入
343,2020-06-30,1103,CostOfGoodsSold,500085000.0,營業成本
